Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dressed_weight,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,gonad_weight,Instrument,lat_lon,Length,Library Name,LibraryLayout,LibrarySelection,LibrarySource,liver_weight,maturity,Organism,Platform,ReleaseDate,Sample Name,sex,ship,SRA Study,Station,store_cond,Strain,tissue,triP,weight
SRR16894036,not collected,WGS,125,1196805000,PRJNA779096,SAMN23011794,Model organism or animal,622728819,CORNELL UNIVERSITY,2011-05-15,public,"fastq,sra",ncbi,ncbi.public,1.982,SRX13086879,Greenland,North America,"Greenland: 1C\, Kangia",0.108,Illumina HiSeq 2500,65.29 N 52.02 W,66,KNG2011_417_14247X147_5_se,SINGLE,RANDOM,GENOMIC,0.03,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,KNG2011_417,male,AJ,SRP345309,8,not collected,not applicable,fin clips,4,2.332
SRR16894037,not collected,WGS,125,1850014250,PRJNA779096,SAMN23011868,Model organism or animal,965718462,CORNELL UNIVERSITY,2010-05-12,public,"fastq,sra",ncbi,ncbi.public,3.6,SRX13086878,Greenland,North America,Greenland: Uummannaq,0.0734,Illumina HiSeq 2500,not collected,76,UUM2010_085_14247X146_5_se,SINGLE,RANDOM,GENOMIC,0.38,8,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,UUM2010_085,female,not collected,SRP345309,not collected,not collected,not applicable,fin clips,not collected,4.3
SRR16894038,not collected,WGS,125,1514502625,PRJNA779096,SAMN23011793,Model organism or animal,787557394,CORNELL UNIVERSITY,2011-05-15,public,"fastq,sra",ncbi,ncbi.public,1.4,SRX13086877,Greenland,North America,"Greenland: 1C\, Kangia",0.162,Illumina HiSeq 2500,65.29 N 52.02 W,57,KNG2011_415_14247X145_5_se,SINGLE,RANDOM,GENOMIC,0.04,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,KNG2011_415,male,AJ,SRP345309,8,not collected,not applicable,fin clips,4,1.7
SRR16894039,6,WGS,125,1586950875,PRJNA779096,SAMN23011720,Model organism or animal,858171824,CORNELL UNIVERSITY,2011-04-11,public,"fastq,sra",ncbi,ncbi.public,2.6,SRX13086876,Greenland,North America,Greenland: Atlantic Peace,0.31,Illumina HiSeq 2500,64.48 N 35.1 W,72,ATP2011_139_14247X131_4_se,SINGLE,RANDOM,GENOMIC,0.075,5,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,ATP2011_139,male,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,3.155
SRR16894040,7,WGS,125,489379625,PRJNA779096,SAMN23011715,Model organism or animal,268064842,CORNELL UNIVERSITY,2011-04-03,public,"fastq,sra",ncbi,ncbi.public,3.15,SRX13086875,Greenland,North America,Greenland: Atlantic Peace,0.365,Illumina HiSeq 2500,64.38 N 35.27 W,63,ATP2011_124_14247X130_4_se,SINGLE,RANDOM,GENOMIC,0.165,4,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,ATP2011_124,female,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,3.785
SRR16894041,not collected,WGS,125,983696750,PRJNA779096,SAMN23011786,Model organism or animal,537169684,CORNELL UNIVERSITY,2011-05-15,public,"fastq,sra",ncbi,ncbi.public,1.008,SRX13086874,Greenland,North America,"Greenland: 1C\, Kangia",0.078,Illumina HiSeq 2500,65.29 N 52.02 W,50,KNG2011_397_14247X129_4_se,SINGLE,RANDOM,GENOMIC,0.034,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,KNG2011_397,male,AJ,SRP345309,8,not collected,not applicable,fin clips,4,1.198
SRR16894042,8,WGS,125,495861000,PRJNA779096,SAMN23011714,Model organism or animal,269367508,CORNELL UNIVERSITY,2011-04-03,public,"fastq,sra",ncbi,ncbi.public,3.47,SRX13086873,Greenland,North America,Greenland: Atlantic Peace,0.405,Illumina HiSeq 2500,64.38 N 35.27 W,76,ATP2011_123_14247X128_4_se,SINGLE,RANDOM,GENOMIC,0.15,5,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,ATP2011_123,male,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,4.205
SRR16894043,not collected,WGS,125,797866250,PRJNA779096,SAMN23011785,Model organism or animal,436003696,CORNELL UNIVERSITY,2011-05-15,public,"fastq,sra",ncbi,ncbi.public,1.85,SRX13086872,Greenland,North America,"Greenland: 1C\, Kangia",0.318,Illumina HiSeq 2500,65.29 N 52.02 W,64,KNG2011_393_14247X127_4_se,SINGLE,RANDOM,GENOMIC,0.044,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,KNG2011_393,male,AJ,SRP345309,8,not collected,not applicable,fin clips,4,2.36
SRR16894044,not collected,WGS,125,911267500,PRJNA779096,SAMN23011791,Model organism or animal,495074748,CORNELL UNIVERSITY,2011-05-15,public,"fastq,sra",ncbi,ncbi.public,2.92,SRX13086871,Greenland,North America,"Greenland: 1C\, Kangia",0.216,Illumina HiSeq 2500,65.29 N 52.02 W,73,KNG2011_411_14247X125_4_se,SINGLE,RANDOM,GENOMIC,0.114,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,KNG2011_411,male,AJ,SRP345309,8,not collected,not applicable,fin clips,4,3.422
SRR16894045,not collected,WGS,302,559947864,PRJNA779096,SAMN23011843,Model organism or animal,261786986,CORNELL UNIVERSITY,2011-05-17,public,"fastq,sra",ncbi,ncbi.public,1.434,SRX13086870,Greenland,North America,"Greenland: 1B\, Qeqertalik",0.298,NextSeq 500,66.83 N 52.66 W,55,QQL2011_884_55191_7_pe,PAIRED,RANDOM,GENOMIC,0.13,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,QQL2011_884,female,AJ,SRP345309,12,not collected,not applicable,fin clips,4,1.994
SRR16894046,not collected,WGS,302,203997980,PRJNA779096,SAMN23011773,Model organism or animal,95695040,CORNELL UNIVERSITY,2011-05-16,public,"fastq,sra",ncbi,ncbi.public,3.646,SRX13086869,Greenland,North America,"Greenland: 1B\, Itivdleq",1.408,NextSeq 500,66.5 N 53.23 W,78,ITV2011_708_55189_7_pe,PAIRED,RANDOM,GENOMIC,0.228,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,ITV2011_708,female,AJ,SRP345309,10,not collected,not applicable,fin clips,4,5.628
SRR16894047,not collected,WGS,302,364663490,PRJNA779096,SAMN23011842,Model organism or animal,172072620,CORNELL UNIVERSITY,2011-05-17,public,"fastq,sra",ncbi,ncbi.public,2.18,SRX13086868,Greenland,North America,"Greenland: 1B\, Qeqertalik",0.508,NextSeq 500,66.83 N 52.66 W,64,QQL2011_878_55185_7_pe,PAIRED,RANDOM,GENOMIC,0.218,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,QQL2011_878,female,AJ,SRP345309,12,not collected,not applicable,fin clips,4,3.226
SRR16894048,not collected,WGS,302,206534478,PRJNA779096,SAMN23011766,Model organism or animal,97595228,CORNELL UNIVERSITY,2011-05-16,public,"fastq,sra",ncbi,ncbi.public,1.89,SRX13086867,Greenland,North America,"Greenland: 1B\, Itivdleq",0.235,NextSeq 500,66.5 N 53.23 W,63,ITV2011_672_55181_7_pe,PAIRED,RANDOM,GENOMIC,0.05,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,ITV2011_672,male,AJ,SRP345309,10,not collected,not applicable,fin clips,4,2.3
SRR16894049,not collected,WGS,302,813130470,PRJNA779096,SAMN23011841,Model organism or animal,378607279,CORNELL UNIVERSITY,2011-05-17,public,"fastq,sra",ncbi,ncbi.public,1.374,SRX13086866,Greenland,North America,"Greenland: 1B\, Qeqertalik",0.23,NextSeq 500,66.83 N 52.66 W,55,QQL2011_876_55178_7_pe,PAIRED,RANDOM,GENOMIC,0.062,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,QQL2011_876,female,AJ,SRP345309,12,not collected,not applicable,fin clips,4,1.784
SRR16894050,not collected,WGS,302,365479192,PRJNA779096,SAMN23011858,Model organism or animal,168867637,CORNELL UNIVERSITY,2010-05-12,public,"fastq,sra",ncbi,ncbi.public,3.39,SRX13086865,Greenland,North America,Greenland: Uummannaq,0.0658,NextSeq 500,not collected,73,UUM2010_048_55174_7_pe,PAIRED,RANDOM,GENOMIC,0.1785,8,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,UUM2010_048,female,not collected,SRP345309,not collected,not collected,not applicable,fin clips,not collected,3.85
SRR16894051,7,WGS,302,588009704,PRJNA779096,SAMN23011711,Model organism or animal,271853309,CORNELL UNIVERSITY,2011-04-02,public,"fastq,sra",ncbi,ncbi.public,2.94,SRX13086864,Greenland,North America,Greenland: Atlantic Peace,0.34,NextSeq 500,64.43 N 35.23 W,74,ATP2011_111_55173_7_pe,PAIRED,RANDOM,GENOMIC,0.145,4,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,ATP2011_111,female,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,3.55
SRR16894052,not collected,WGS,302,419566788,PRJNA779096,SAMN23011840,Model organism or animal,197478100,CORNELL UNIVERSITY,2011-05-17,public,"fastq,sra",ncbi,ncbi.public,1.602,SRX13086863,Greenland,North America,"Greenland: 1B\, Qeqertalik",0.418,NextSeq 500,66.83 N 52.66 W,58,QQL2011_864_55172_7_pe,PAIRED,RANDOM,GENOMIC,0.13,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,QQL2011_864,female,AJ,SRP345309,12,not collected,not applicable,fin clips,4,2.652
SRR16894053,6,WGS,302,1067010092,PRJNA779096,SAMN23011716,Model organism or animal,486736226,CORNELL UNIVERSITY,2011-04-03,public,"fastq,sra",ncbi,ncbi.public,2.07,SRX13086862,Greenland,North America,Greenland: Atlantic Peace,0.225,NextSeq 500,64.38 N 35.27 W,62,ATP2011_125_55091_7_pe,PAIRED,RANDOM,GENOMIC,0.055,5,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,ATP2011_125,male,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,2.555
SRR16894054,not collected,WGS,302,278795528,PRJNA779096,SAMN23011829,Model organism or animal,130063919,CORNELL UNIVERSITY,2011-04-29,public,"fastq,sra",ncbi,ncbi.public,1.59,SRX13086861,Greenland,North America,"Greenland: 1E\, Qagssit",0.135,NextSeq 500,62.29 N 49.55 W,59,PAA2011_858_55171_7_pe,PAIRED,RANDOM,GENOMIC,0.04,5,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,PAA2011_858,male,AJ,SRP345309,8,not collected,not applicable,fin clips,2,1.845
SRR16894055,6,WGS,302,442555330,PRJNA779096,SAMN23011733,Model organism or animal,206730758,CORNELL UNIVERSITY,2011-05-10,public,"fastq,sra",ncbi,ncbi.public,1.418,SRX13086860,Greenland,North America,Greenland: Buksefjord,0.192,NextSeq 500,63.76 N 51.3 W,55,BUK2011_021_55170_7_pe,PAIRED,RANDOM,GENOMIC,0.062,7,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,BUK2011_021,female,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,1.768
SRR16894056,not collected,WGS,302,592743856,PRJNA779096,SAMN23011857,Model organism or animal,274173429,CORNELL UNIVERSITY,2010-05-12,public,"fastq,sra",ncbi,ncbi.public,3.58,SRX13086859,Greenland,North America,Greenland: Uummannaq,0.0299,NextSeq 500,not collected,73,UUM2010_044_55167_7_pe,PAIRED,RANDOM,GENOMIC,0.406,8,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,UUM2010_044,male,not collected,SRP345309,not collected,not collected,not applicable,fin clips,not collected,4.31
SRR16894057,not collected,WGS,302,187828900,PRJNA779096,SAMN23011839,Model organism or animal,88962880,CORNELL UNIVERSITY,2011-05-17,public,"fastq,sra",ncbi,ncbi.public,1.34,SRX13086858,Greenland,North America,"Greenland: 1B\, Qeqertalik",0.128,NextSeq 500,66.83 N 52.68 W,55,QQL2011_860_55166_7_pe,PAIRED,RANDOM,GENOMIC,0.078,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,QQL2011_860,male,AJ,SRP345309,11,not collected,not applicable,fin clips,4,1.674
SRR16894058,not collected,WGS,302,474019502,PRJNA779096,SAMN23011828,Model organism or animal,222223526,CORNELL UNIVERSITY,2011-04-29,public,"fastq,sra",ncbi,ncbi.public,1.01,SRX13086857,Greenland,North America,"Greenland: 1E\, Qagssit",0.155,NextSeq 500,62.29 N 49.55 W,53,PAA2011_856_55165_7_pe,PAIRED,RANDOM,GENOMIC,0.02,5,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,PAA2011_856,male,AJ,SRP345309,8,not collected,not applicable,fin clips,2,1.255
SRR16894059,6,WGS,302,411347858,PRJNA779096,SAMN23011731,Model organism or animal,191079853,CORNELL UNIVERSITY,2011-05-10,public,"fastq,sra",ncbi,ncbi.public,1.322,SRX13086856,Greenland,North America,Greenland: Buksefjord,0.118,NextSeq 500,63.76 N 51.3 W,58,BUK2011_016_55164_7_pe,PAIRED,RANDOM,GENOMIC,0.062,7,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,BUK2011_016,female,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,1.596
