*sample_name	*organism	strain	age	*sex	tissue	collection_date	geo_loc_name	lat_lon	store_cond	length	weight	dressed_weight	liver_weight	gonad_weight	maturity	ship	trip	station
ATP2011_104	Gadus morhua	not applicable	6	male	fin clips	2011-04-02	Greenland: Atlantic Peace	64.43 N 35.23 W	96% Ethanol	59	1.915	1.58	0.065	0.185	5	not collected	not collected	not collected
ATP2011_111	Gadus morhua	not applicable	7	female	fin clips	2011-04-02	Greenland: Atlantic Peace	64.43 N 35.23 W	96% Ethanol	74	3.55	2.94	0.145	0.34	4	not collected	not collected	not collected
ATP2011_117	Gadus morhua	not applicable	6	female	fin clips	2011-04-02	Greenland: Atlantic Peace	64.43 N 35.23 W	96% Ethanol	68	3.335	2.42	0.17	0.25	4	not collected	not collected	not collected
ATP2011_118	Gadus morhua	not applicable	7	female	fin clips	2011-04-02	Greenland: Atlantic Peace	64.43 N 35.23 W	96% Ethanol	81	4.98	4.13	0.345	0.215	4	not collected	not collected	not collected
ATP2011_123	Gadus morhua	not applicable	8	male	fin clips	2011-04-03	Greenland: Atlantic Peace	64.38 N 35.27 W	96% Ethanol	76	4.205	3.47	0.15	0.405	5	not collected	not collected	not collected
ATP2011_124	Gadus morhua	not applicable	7	female	fin clips	2011-04-03	Greenland: Atlantic Peace	64.38 N 35.27 W	96% Ethanol	63	3.785	3.15	0.165	0.365	4	not collected	not collected	not collected
ATP2011_125	Gadus morhua	not applicable	6	male	fin clips	2011-04-03	Greenland: Atlantic Peace	64.38 N 35.27 W	96% Ethanol	62	2.555	2.07	0.055	0.225	5	not collected	not collected	not collected
ATP2011_126	Gadus morhua	not applicable	7	female	fin clips	2011-04-03	Greenland: Atlantic Peace	64.38 N 35.27 W	96% Ethanol	78	5.055	4.035	0.415	0.325	4	not collected	not collected	not collected
ATP2011_127	Gadus morhua	not applicable	6	female	fin clips	2011-04-03	Greenland: Atlantic Peace	64.38 N 35.27 W	96% Ethanol	69	3.58	2.785	0.345	0.235	4	not collected	not collected	not collected
ATP2011_129	Gadus morhua	not applicable	8	male	fin clips	2011-04-03	Greenland: Atlantic Peace	64.38 N 35.27 W	96% Ethanol	85	6.105	4.885	0.375	0.6	5	not collected	not collected	not collected
