sample_id_corrected	population	batch	raw_bases	adapter_clipped_bases	ready_to_map_bases	mapped_bases	qual_filtered_mapped_bases	dedup_mapped_bases	final_mapped_bases	avg_fragment_size	data_type	lane_number	sample_seq_id	duplication_rate	low_conc
511_2013_10	511_2013	Paired_2	1465785690	1455802147	1451554420	1312156239	987860071	852395521	837775485	364.013589	pe	8	511_2013_10_91472_8_pe	0.1371292898425085	N
511_2013_12	511_2013	Paired_2	1323293634	1317345530	1313238205	1185545081	890189378	791138595	781997883	369.413993	pe	8	511_2013_12_91473_8_pe	0.11126933824186791	N
511_2013_16	511_2013	Paired_2	1040547342	1035539957	1032337597	932583082	699401089	629970446	622802480	371.746903	pe	8	511_2013_16_91474_8_pe	0.09927156833466122	N
511_2013_19	511_2013	Paired_2	1527148164	1518046037	1513245959	1365354800	1027954753	890096675	876976332	366.0649	pe	8	511_2013_19_91475_8_pe	0.1341090914728228	N
511_2013_20	511_2013	Paired_2	892452280	888363933	885737604	798235525	597621555	550034922	544053181	374.064154	pe	8	511_2013_20_91476_8_pe	0.07962670121562132	N
511_2013_21	511_2013	Paired_2	1268751830	1258224729	1254701815	1135295557	853338456	739952325	725815436	364.023372	pe	8	511_2013_21_91477_8_pe	0.13287357460894744	N
511_2013_25	511_2013	Paired_2	1435518646	1427616069	1423050534	1286718053	965678806	844816602	832930958	365.034391	pe	8	511_2013_25_91478_8_pe	0.1251577680374193	N
511_2013_28	511_2013	Paired_2	1140988012	1137904860	1134503396	1027488854	774236092	704942133	700130496	374.092475	pe	8	511_2013_28_91479_8_pe	0.08949977883490345	N
511_2013_30	511_2013	Paired_2	1283657946	1276098230	1272067391	1147751106	863749717	765201149	753907946	365.599169	pe	8	511_2013_30_91480_8_pe	0.11409389324291963	N
511_2013_32	511_2013	Paired_2	1212359672	1206247648	1202455187	1084284161	814120939	722255233	713565585	370.284374	pe	8	511_2013_32_91460_8_pe	0.1128403675660773	N
511_2013_36	511_2013	Paired_2	923725588	921150199	918674934	833566385	625297319	573858799	569580710	373.894312	pe	8	511_2013_36_91461_8_pe	0.08226249887375581	N
511_2013_37	511_2013	Paired_2	1961101024	1954093738	1947960677	1759248214	1320985107	1135980796	1125581680	372.149625	pe	8	511_2013_37_91462_8_pe	0.14005026250458708	N
511_2013_38	511_2013	Paired_2	906080332	902711773	900059156	816070383	609917669	561483670	556707604	373.968429	pe	8	511_2013_38_91463_8_pe	0.07941071633391228	N
511_2013_4	511_2013	Paired_2	1691054436	1683770973	1678707958	1514246615	1142357535	985815108	975167291	371.238856	pe	8	511_2013_4_91471_8_pe	0.13703452921155723	N
511_2013_40	511_2013	Paired_2	1055315444	1050471285	1047741623	950335703	715342244	650975885	642985208	368.573253	pe	8	511_2013_40_91464_8_pe	0.08997980972028263	N
511_2013_43	511_2013	Paired_2	1330170476	1324132352	1319713274	1191870956	897572019	800422988	791211601	369.242193	pe	8	511_2013_43_91465_8_pe	0.10823536044298188	N
511_2013_44	511_2013	Paired_2	846918532	843095333	841667111	770339437	571871621	534862854	528046726	366.100691	pe	8	511_2013_44_91466_8_pe	0.06471516620336015	N
511_2013_47	511_2013	Paired_2	1121025812	1117687084	1114134882	1005703324	756008947	676404687	671095107	373.113007	pe	8	511_2013_47_91467_8_pe	0.10529539407686406	N
511_2013_48	511_2013	Paired_2	710319402	707913513	705801957	637918722	483646638	450203210	446631567	376.818541	pe	8	511_2013_48_91468_8_pe	0.06914847612359498	N
511_2013_50	511_2013	Paired_2	1342354364	1336414466	1332176294	1199149321	905062657	799763699	790954049	369.587973	pe	8	511_2013_50_91470_8_pe	0.11634438476230269	N
911_2013_102	911_2013	Paired_2	838241166	832135580	829575908	751289968	564416398	516482570	508543419	369.857396	pe	8	911_2013_102_91493_8_pe	0.08492635609073851	N
911_2013_107	911_2013	Paired_2	1114050518	1110585434	1107095676	998846905	752349127	677192949	670703346	369.090225	pe	8	911_2013_107_91494_8_pe	0.0998953481871987	N
911_2013_108	911_2013	Paired_2	1028297920	1024484368	1021108717	922263198	692145333	628492901	622560266	371.432961	pe	8	911_2013_108_91495_8_pe	0.09196396907584148	N
911_2013_111	911_2013	Paired_2	652963562	644526605	642212652	578271753	434590891	403341770	387253271	344.872576	pe	8	911_2013_111_91496_8_pe	0.07190468472106104	N
911_2013_113	911_2013	Paired_2	422204456	416951616	415389367	372481444	280015296	261528577	255192473	365.876214	pe	8	911_2013_113_91497_8_pe	0.06602038982898994	N
911_2013_115	911_2013	Paired_2	675351124	668645442	665744740	592412439	442740562	403921105	396359628	368.306415	pe	8	911_2013_115_91498_8_pe	0.0876799198714483	N
