sample_id	extraction_id	extraction_year	extraction_month	extraction_day	tissue_type	extraction_method	rnase	who_extracted	elution_liquid	elution_vol	elution_conc	conc_measure_method	degradation_level	extraction_tube_label	extraction_plate_id	extraction_plate_well	normalized_plate_id	normalized_plate_well	notes
API2011_005	API2011_005	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	17.9	Qubit	NA	NA	20161010pl1	01A	NA	NA	NA
API2011_007	API2011_007	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	2.37	Qubit	NA	NA	20161010pl1	01C	NA	NA	NA
API2011_008	API2011_008	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	2.42	Qubit	NA	NA	20161010pl1	01D	NA	NA	NA
API2011_017	API2011_017	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	2.67	Qubit	NA	NA	20161010pl1	01F	NA	NA	NA
API2011_020	API2011_020	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	3.6	Qubit	NA	NA	20161010pl1	01G	NA	NA	NA
API2011_025	API2011_025	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	2.26	Qubit	NA	NA	20161010pl1	02D	NA	NA	NA
API2011_027	API2011_027	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	1.87	Qubit	NA	NA	20161010pl1	02F	NA	NA	NA
GRD2011_145	GRD2011_145	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	41.6	Qubit	NA	NA	20161010pl1	02H	NA	NA	NA
GRD2011_149	GRD2011_149	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	12.1	Qubit	NA	NA	20161010pl1	03A	NA	NA	NA
GRD2011_151	GRD2011_151	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	12.5	Qubit	NA	NA	20161010pl1	03B	NA	NA	NA
GRD2011_153	GRD2011_153	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	38.1	Qubit	1	NA	20161010pl1	03C	20170119norm2	03F	NA
GRD2011_155	GRD2011_155	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	12	Qubit	1	NA	20161010pl1	03D	20170119norm2	03G	NA
GRD2011_157	GRD2011_157	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	25.4	Qubit	1	NA	20161010pl1	03E	20170119norm2	04A	NA
GRD2011_159	GRD2011_159	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	14.1	Qubit	1	NA	20161010pl1	03F	20170119norm2	04B	NA
GRD2011_161	GRD2011_161	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	16.6	Qubit	1	NA	20161010pl1	03G	20170119norm2	04C	NA
GRD2011_163	GRD2011_163	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	56	Qubit	NA	NA	20161010pl1	03H	NA	NA	NA
GRD2011_173	GRD2011_173	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	25.9	Qubit	1	NA	20161010pl1	04A	20170119norm2	04D	NA
GRD2011_185	GRD2011_185	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	13	Qubit	1	NA	20161010pl1	04B	20170119norm2	04E	NA
GRD2011_189	GRD2011_189	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	28.5	Qubit	1	NA	20161010pl1	04C	20170119norm2	04F	NA
GRD2011_191	GRD2011_191	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	28.8	Qubit	1	NA	20161010pl1	04D	20170119norm2	04G	NA
KAP2011_010	KAP2011_010	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	15	Qubit	NA	NA	20161010pl1	04F	NA	NA	NA
KAP2011_011	KAP2011_011	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	25.7	Qubit	NA	NA	20161010pl1	04G	NA	NA	NA
KAP2011_013	KAP2011_013	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	4.01	Qubit	NA	NA	20161010pl1	04H	NA	NA	NA
KAP2011_015	KAP2011_015	2016	10	10	NA	Qiagen with AMPure purification of an aliquot	NA	Harmony	Tris HCl, pH 7.5	40	3.35	Qubit	NA	NA	20161010pl1	05A	NA	NA	NA
