sample_seq_id	lane_number	seq_id	sample_id_corrected	population	data_type	population_new
ATP2011_104_14247X191_6_se	6	14247X191	ATP2011_104	ATP2011	se	ATP2011
ATP2011_111_55173_7_pe	7	55173	ATP2011_111	ATP2011	pe	ATP2011
ATP2011_117_14247X215_6_se	6	14247X215	ATP2011_117	ATP2011	se	ATP2011
ATP2011_118_14247X184_6_se	6	14247X184	ATP2011_118	ATP2011	se	ATP2011
ATP2011_123_14247X128_4_se	4	14247X128	ATP2011_123	ATP2011	se	ATP2011
ATP2011_124_14247X130_4_se	4	14247X130	ATP2011_124	ATP2011	se	ATP2011
ATP2011_125_55091_7_pe	7	55091	ATP2011_125	ATP2011	pe	ATP2011
ATP2011_126_14247X189_6_se	6	14247X189	ATP2011_126	ATP2011	se	ATP2011
ATP2011_127_14247X172_5_se	5	14247X172	ATP2011_127	ATP2011	se	ATP2011
ATP2011_129_14247X177_5_se	5	14247X177	ATP2011_129	ATP2011	se	ATP2011
ATP2011_139_14247X131_4_se	4	14247X131	ATP2011_139	ATP2011	se	ATP2011
BUK2011_001_55087_7_pe	7	55087	BUK2011_001	BUK2011	pe	BUK2011
BUK2011_002_55097_7_pe	7	55097	BUK2011_002	BUK2011	pe	BUK2011
BUK2011_005_14247X32_1_se	1	14247X32	BUK2011_005	BUK2011	se	BUK2011
BUK2011_006_55107_7_pe	7	55107	BUK2011_006	BUK2011	pe	BUK2011
BUK2011_007_55118_7_pe	7	55118	BUK2011_007	BUK2011	pe	BUK2011
BUK2011_008_14247X2_1_se	1	14247X2	BUK2011_008	BUK2011	se	BUK2011
BUK2011_009_14247X7_1_se	1	14247X7	BUK2011_009	BUK2011	se	BUK2011
BUK2011_010_55128_7_pe	7	55128	BUK2011_010	BUK2011	pe	BUK2011
BUK2011_012_55153_7_pe	7	55153	BUK2011_012	BUK2011	pe	BUK2011
BUK2011_015_55230_7_pe	7	55230	BUK2011_015	BUK2011	pe	BUK2011
BUK2011_016_55164_7_pe	7	55164	BUK2011_016	BUK2011	pe	BUK2011
BUK2011_018_55088_7_pe	7	55088	BUK2011_018	BUK2011	pe	BUK2011
BUK2011_021_55170_7_pe	7	55170	BUK2011_021	BUK2011	pe	BUK2011
BUK2011_027_55098_7_pe	7	55098	BUK2011_027	BUK2011	pe	BUK2011
BUK2011_029_55108_7_pe	7	55108	BUK2011_029	BUK2011	pe	BUK2011
BUK2011_041_55120_7_pe	7	55120	BUK2011_041	BUK2011	pe	BUK2011
BUK2011_045_55130_7_pe	7	55130	BUK2011_045	BUK2011	pe	BUK2011
BUK2011_048_55143_7_pe	7	55143	BUK2011_048	BUK2011	pe	BUK2011
BUK2011_051_55157_7_pe	7	55157	BUK2011_051	BUK2011	pe	BUK2011
BUK2011_053_55090_7_pe	7	55090	BUK2011_053	BUK2011	pe	BUK2011
BUK2011_056_55101_7_pe	7	55101	BUK2011_056	BUK2011	pe	BUK2011
BUK2011_057_55110_7_pe	7	55110	BUK2011_057	BUK2011	pe	BUK2011
BUK2011_059_55121_7_pe	7	55121	BUK2011_059	BUK2011	pe	BUK2011
BUK2011_060_55131_7_pe	7	55131	BUK2011_060	BUK2011	pe	BUK2011
IKE2011_000_14247X88_3_se	3	14247X88	IKE2011_000	IKE2011	se	IKE2011
IKE2011_002_14247X93_3_se	3	14247X93	IKE2011_002	IKE2011	se	IKE2011
IKE2011_006_14247X97_3_se	3	14247X97	IKE2011_006	IKE2011	se	IKE2011
IKE2011_032_14247X101_3_se	3	14247X101	IKE2011_032	IKE2011	se	IKE2011
IKE2011_966_55095_7_pe	7	55095	IKE2011_966	IKE2011	pe	IKE2011
IKE2011_970_55104_7_pe	7	55104	IKE2011_970	IKE2011	pe	IKE2011
IKE2011_972_55115_7_pe	7	55115	IKE2011_972	IKE2011	pe	IKE2011
IKE2011_976_55124_7_pe	7	55124	IKE2011_976	IKE2011	pe	IKE2011
IKE2011_978_55137_7_pe	7	55137	IKE2011_978	IKE2011	pe	IKE2011
IKE2011_984_55148_7_pe	7	55148	IKE2011_984	IKE2011	pe	IKE2011
IKE2011_986_14247X55_2_se	2	14247X55	IKE2011_986	IKE2011	se	IKE2011
IKE2011_998_14247X59_2_se	2	14247X59	IKE2011_998	IKE2011	se	IKE2011
ITV2011_628_55150_7_pe	7	55150	ITV2011_628	ITV2011	pe	ITV2011
ITV2011_630_14247X36_1_se	1	14247X36	ITV2011_630	ITV2011	se	ITV2011
ITV2011_636_14247X5_1_se	1	14247X5	ITV2011_636	ITV2011	se	ITV2011
ITV2011_642_14247X9_1_se	1	14247X9	ITV2011_642	ITV2011	se	ITV2011
ITV2011_646_14247X15_1_se	1	14247X15	ITV2011_646	ITV2011	se	ITV2011
ITV2011_648_14247X19_1_se	1	14247X19	ITV2011_648	ITV2011	se	ITV2011
ITV2011_652_14247X22_1_se	1	14247X22	ITV2011_652	ITV2011	se	ITV2011
ITV2011_658_14247X26_1_se	1	14247X26	ITV2011_658	ITV2011	se	ITV2011
ITV2011_660_14247X30_1_se	1	14247X30	ITV2011_660	ITV2011	se	ITV2011
ITV2011_672_55181_7_pe	7	55181	ITV2011_672	ITV2011	pe	ITV2011
ITV2011_674_14247X103_3_se	3	14247X103	ITV2011_674	ITV2011	se	ITV2011
ITV2011_676_14247X107_3_se	3	14247X107	ITV2011_676	ITV2011	se	ITV2011
ITV2011_678_14247X75_3_se	3	14247X75	ITV2011_678	ITV2011	se	ITV2011
ITV2011_682_14247X80_3_se	3	14247X80	ITV2011_682	ITV2011	se	ITV2011
ITV2011_686_14247X85_3_se	3	14247X85	ITV2011_686	ITV2011	se	ITV2011
ITV2011_690_14247X91_3_se	3	14247X91	ITV2011_690	ITV2011	se	ITV2011
ITV2011_708_55189_7_pe	7	55189	ITV2011_708	ITV2011	pe	ITV2011
ITV2011_714_55194_7_pe	7	55194	ITV2011_714	ITV2011	pe	ITV2011
ITV2011_722_55214_7_pe	7	55214	ITV2011_722	ITV2011	pe	ITV2011
ITV2011_782_55236_7_pe	7	55236	ITV2011_782	ITV2011	pe	ITV2011
KNG2011_373_55129_7_pe	7	55129	KNG2011_373	KNG2011	pe	KNG2011
KNG2011_375_55141_7_pe	7	55141	KNG2011_375	KNG2011	pe	KNG2011
KNG2011_377_55155_7_pe	7	55155	KNG2011_377	KNG2011	pe	KNG2011
KNG2011_379_55089_7_pe	7	55089	KNG2011_379	KNG2011	pe	KNG2011
KNG2011_383_55100_7_pe	7	55100	KNG2011_383	KNG2011	pe	KNG2011
KNG2011_385_14247X115_4_se	4	14247X115	KNG2011_385	KNG2011	se	KNG2011
KNG2011_387_14247X120_4_se	4	14247X120	KNG2011_387	KNG2011	se	KNG2011
KNG2011_391_14247X124_4_se	4	14247X124	KNG2011_391	KNG2011	se	KNG2011
KNG2011_393_14247X127_4_se	4	14247X127	KNG2011_393	KNG2011	se	KNG2011
KNG2011_397_14247X129_4_se	4	14247X129	KNG2011_397	KNG2011	se	KNG2011
KNG2011_399_14247X109_4_se	4	14247X109	KNG2011_399	KNG2011	se	KNG2011
KNG2011_401_14247X112_4_se	4	14247X112	KNG2011_401	KNG2011	se	KNG2011
KNG2011_405_14247X116_4_se	4	14247X116	KNG2011_405	KNG2011	se	KNG2011
KNG2011_407_14247X121_4_se	4	14247X121	KNG2011_407	KNG2011	se	KNG2011
KNG2011_411_14247X125_4_se	4	14247X125	KNG2011_411	KNG2011	se	KNG2011
KNG2011_413_55159_7_pe	7	55159	KNG2011_413	KNG2011	pe	KNG2011
KNG2011_415_14247X145_5_se	5	14247X145	KNG2011_415	KNG2011	se	KNG2011
KNG2011_417_14247X147_5_se	5	14247X147	KNG2011_417	KNG2011	se	KNG2011
KNG2011_421_14247X149_5_se	5	14247X149	KNG2011_421	KNG2011	se	KNG2011
KNG2011_423_14247X151_5_se	5	14247X151	KNG2011_423	KNG2011	se	KNG2011
KNG2011_427_14247X152_5_se	5	14247X152	KNG2011_427	KNG2011	se	KNG2011
KNG2011_429_14247X153_5_se	5	14247X153	KNG2011_429	KNG2011	se	KNG2011
KNG2011_431_14247X154_5_se	5	14247X154	KNG2011_431	KNG2011	se	KNG2011
KNG2011_433_55093_7_pe	7	55093	KNG2011_433	KNG2011	pe	KNG2011
KNG2011_435_55102_7_pe	7	55102	KNG2011_435	KNG2011	pe	KNG2011
KNG2011_437_55112_7_pe	7	55112	KNG2011_437	KNG2011	pe	KNG2011
KNG2011_439_55122_7_pe	7	55122	KNG2011_439	KNG2011	pe	KNG2011
KNG2011_441_55134_7_pe	7	55134	KNG2011_441	KNG2011	pe	KNG2011
KNG2011_489_55146_7_pe	7	55146	KNG2011_489	KNG2011	pe	KNG2011
KNG2011_497_55160_7_pe	7	55160	KNG2011_497	KNG2011	pe	KNG2011
NAR2008_001_55142_7_pe	7	55142	NAR2008_001	NAR2008	pe	NAR2008
NAR2008_002_55156_7_pe	7	55156	NAR2008_002	NAR2008	pe	NAR2008
NAR2008_006_55085_7_pe	7	55085	NAR2008_006	NAR2008	pe	NAR2008
NAR2008_028_14247X192_6_se	6	14247X192	NAR2008_028	NAR2008	se	NAR2008
NAR2008_029_14247X198_6_se	6	14247X198	NAR2008_029	NAR2008	se	NAR2008
NAR2008_032_14247X76_3_se	3	14247X76	NAR2008_032	NAR2008	se	NAR2008
NAR2008_034_14247X81_3_se	3	14247X81	NAR2008_034	NAR2008	se	NAR2008
NAR2008_035_14247X211_6_se	6	14247X211	NAR2008_035	NAR2008	se	NAR2008
NAR2008_036_14247X86_3_se	3	14247X86	NAR2008_036	NAR2008	se	NAR2008
NAR2008_042_14247X190_6_se	6	14247X190	NAR2008_042	NAR2008	se	NAR2008
NAR2008_043_14247X195_6_se	6	14247X195	NAR2008_043	NAR2008	se	NAR2008
NAR2008_044_14247X204_6_se	6	14247X204	NAR2008_044	NAR2008	se	NAR2008
NAR2008_047_14247X201_6_se	6	14247X201	NAR2008_047	NAR2008	se	NAR2008
NAR2008_050_14247X209_6_se	6	14247X209	NAR2008_050	NAR2008	se	NAR2008
NAR2008_051_14247X214_6_se	6	14247X214	NAR2008_051	NAR2008	se	NAR2008
PAA2011_708_55139_7_pe	7	55139	PAA2011_708	PAA2011	pe	PAA2011
PAA2011_728_55151_7_pe	7	55151	PAA2011_728	PAA2011	pe	PAA2011
PAA2011_786_55086_7_pe	7	55086	PAA2011_786	PAA2011	pe	PAA2011
PAA2011_824_14247X100_3_se	3	14247X100	PAA2011_824	PAA2011	se	PAA2011
PAA2011_826_14247X104_3_se	3	14247X104	PAA2011_826	PAA2011	se	PAA2011
PAA2011_854_14247X108_3_se	3	14247X108	PAA2011_854	PAA2011	se	PAA2011
PAA2011_856_55165_7_pe	7	55165	PAA2011_856	PAA2011	pe	PAA2011
PAA2011_858_55171_7_pe	7	55171	PAA2011_858	PAA2011	pe	PAA2011
QQL2011_828_14247X37_2_se	2	14247X37	QQL2011_828	QQL2011	se	QQL2011
QQL2011_832_14247X39_2_se	2	14247X39	QQL2011_832	QQL2011	se	QQL2011
QQL2011_836_14247X41_2_se	2	14247X41	QQL2011_836	QQL2011	se	QQL2011
QQL2011_838_14247X43_2_se	2	14247X43	QQL2011_838	QQL2011	se	QQL2011
QQL2011_840_14247X45_2_se	2	14247X45	QQL2011_840	QQL2011	se	QQL2011
QQL2011_842_merged_merged_se	merged	merged	QQL2011_842	QQL2011	se	QQL2011
QQL2011_844_merged_merged_se	merged	merged	QQL2011_844	QQL2011	se	QQL2011
QQL2011_846_merged_merged_se	merged	merged	QQL2011_846	QQL2011	se	QQL2011
QQL2011_852_merged_merged_se	merged	merged	QQL2011_852	QQL2011	se	QQL2011
QQL2011_860_55166_7_pe	7	55166	QQL2011_860	QQL2011	pe	QQL2011
QQL2011_864_55172_7_pe	7	55172	QQL2011_864	QQL2011	pe	QQL2011
QQL2011_876_55178_7_pe	7	55178	QQL2011_876	QQL2011	pe	QQL2011
QQL2011_878_55185_7_pe	7	55185	QQL2011_878	QQL2011	pe	QQL2011
QQL2011_884_55191_7_pe	7	55191	QQL2011_884	QQL2011	pe	QQL2011
QQL2011_886_55196_7_pe	7	55196	QQL2011_886	QQL2011	pe	QQL2011
QQL2011_888_55216_7_pe	7	55216	QQL2011_888	QQL2011	pe	QQL2011
QQL2011_892_55239_7_pe	7	55239	QQL2011_892	QQL2011	pe	QQL2011
QQL2011_894_14247X77_3_se	3	14247X77	QQL2011_894	QQL2011	se	QQL2011
QQL2011_896_14247X82_3_se	3	14247X82	QQL2011_896	QQL2011	se	QQL2011
UUM2010_001_14247X203_6_se	6	14247X203	UUM2010_001	UUM2010	se	UUM2010
UUM2010_003_14247X208_6_se	6	14247X208	UUM2010_003	UUM2010	se	UUM2010
UUM2010_011_14247X213_6_se	6	14247X213	UUM2010_011	UUM2010	se	UUM2010
UUM2010_023_55162_7_pe	7	55162	UUM2010_023	UUM2010	pe	UUM2010
