sample_seq_id	lane_number	seq_id	sample_id_corrected	population	data_type	population_new
UUM2010_001_14247X203_6_se	6	14247X203	UUM2010_001	UUM2010	se	UUM2010
UUM2010_003_14247X208_6_se	6	14247X208	UUM2010_003	UUM2010	se	UUM2010
UUM2010_011_14247X213_6_se	6	14247X213	UUM2010_011	UUM2010	se	UUM2010
UUM2010_023_55162_7_pe	7	55162	UUM2010_023	UUM2010	pe	UUM2010
UUM2010_026_14247X182_6_se	6	14247X182	UUM2010_026	UUM2010	se	UUM2010
UUM2010_030_14247X187_6_se	6	14247X187	UUM2010_030	UUM2010	se	UUM2010
UUM2010_036_55109_7_pe	7	55109	UUM2010_036	UUM2010	pe	UUM2010
UUM2010_038_55119_7_pe	7	55119	UUM2010_038	UUM2010	pe	UUM2010
UUM2010_044_55167_7_pe	7	55167	UUM2010_044	UUM2010	pe	UUM2010
UUM2010_048_55174_7_pe	7	55174	UUM2010_048	UUM2010	pe	UUM2010
UUM2010_054_14247X114_4_se	4	14247X114	UUM2010_054	UUM2010	se	UUM2010
UUM2010_055_14247X194_6_se	6	14247X194	UUM2010_055	UUM2010	se	UUM2010
UUM2010_064_14247X200_6_se	6	14247X200	UUM2010_064	UUM2010	se	UUM2010
UUM2010_068_55111_7_pe	7	55111	UUM2010_068	UUM2010	pe	UUM2010
UUM2010_069_14247X122_4_se	4	14247X122	UUM2010_069	UUM2010	se	UUM2010
UUM2010_073_55132_7_pe	7	55132	UUM2010_073	UUM2010	pe	UUM2010
UUM2010_075_55144_7_pe	7	55144	UUM2010_075	UUM2010	pe	UUM2010
UUM2010_080_55158_7_pe	7	55158	UUM2010_080	UUM2010	pe	UUM2010
UUM2010_084_14247X111_4_se	4	14247X111	UUM2010_084	UUM2010	se	UUM2010
UUM2010_085_14247X146_5_se	5	14247X146	UUM2010_085	UUM2010	se	UUM2010
UUM2010_087_14247X148_5_se	5	14247X148	UUM2010_087	UUM2010	se	UUM2010
UUM2010_095_14247X150_5_se	5	14247X150	UUM2010_095	UUM2010	se	UUM2010
UUM2010_096_55133_7_pe	7	55133	UUM2010_096	UUM2010	pe	UUM2010
UUM2010_098_55145_7_pe	7	55145	UUM2010_098	UUM2010	pe	UUM2010
