sample_seq_id	lane_number	seq_id	sample_id_corrected	population	data_type	population_new
IKE2011_000_14247X88_3_se	3	14247X88	IKE2011_000	IKE2011	se	IKE2011
IKE2011_002_14247X93_3_se	3	14247X93	IKE2011_002	IKE2011	se	IKE2011
IKE2011_006_14247X97_3_se	3	14247X97	IKE2011_006	IKE2011	se	IKE2011
IKE2011_032_14247X101_3_se	3	14247X101	IKE2011_032	IKE2011	se	IKE2011
IKE2011_966_55095_7_pe	7	55095	IKE2011_966	IKE2011	pe	IKE2011
IKE2011_970_55104_7_pe	7	55104	IKE2011_970	IKE2011	pe	IKE2011
IKE2011_972_55115_7_pe	7	55115	IKE2011_972	IKE2011	pe	IKE2011
IKE2011_976_55124_7_pe	7	55124	IKE2011_976	IKE2011	pe	IKE2011
IKE2011_978_55137_7_pe	7	55137	IKE2011_978	IKE2011	pe	IKE2011
IKE2011_984_55148_7_pe	7	55148	IKE2011_984	IKE2011	pe	IKE2011
IKE2011_986_14247X55_2_se	2	14247X55	IKE2011_986	IKE2011	se	IKE2011
IKE2011_998_14247X59_2_se	2	14247X59	IKE2011_998	IKE2011	se	IKE2011
