sample_seq_id	lane_number	seq_id	sample_id_corrected	population	data_type	population_new
BUK2011_001_55087_7_pe	7	55087	BUK2011_001	BUK2011	pe	BUK2011
BUK2011_002_55097_7_pe	7	55097	BUK2011_002	BUK2011	pe	BUK2011
BUK2011_005_14247X32_1_se	1	14247X32	BUK2011_005	BUK2011	se	BUK2011
BUK2011_006_55107_7_pe	7	55107	BUK2011_006	BUK2011	pe	BUK2011
BUK2011_007_55118_7_pe	7	55118	BUK2011_007	BUK2011	pe	BUK2011
BUK2011_008_14247X2_1_se	1	14247X2	BUK2011_008	BUK2011	se	BUK2011
BUK2011_009_14247X7_1_se	1	14247X7	BUK2011_009	BUK2011	se	BUK2011
BUK2011_010_55128_7_pe	7	55128	BUK2011_010	BUK2011	pe	BUK2011
BUK2011_012_55153_7_pe	7	55153	BUK2011_012	BUK2011	pe	BUK2011
BUK2011_015_55230_7_pe	7	55230	BUK2011_015	BUK2011	pe	BUK2011
BUK2011_016_55164_7_pe	7	55164	BUK2011_016	BUK2011	pe	BUK2011
BUK2011_018_55088_7_pe	7	55088	BUK2011_018	BUK2011	pe	BUK2011
BUK2011_021_55170_7_pe	7	55170	BUK2011_021	BUK2011	pe	BUK2011
BUK2011_027_55098_7_pe	7	55098	BUK2011_027	BUK2011	pe	BUK2011
BUK2011_029_55108_7_pe	7	55108	BUK2011_029	BUK2011	pe	BUK2011
BUK2011_041_55120_7_pe	7	55120	BUK2011_041	BUK2011	pe	BUK2011
BUK2011_045_55130_7_pe	7	55130	BUK2011_045	BUK2011	pe	BUK2011
BUK2011_048_55143_7_pe	7	55143	BUK2011_048	BUK2011	pe	BUK2011
BUK2011_051_55157_7_pe	7	55157	BUK2011_051	BUK2011	pe	BUK2011
BUK2011_053_55090_7_pe	7	55090	BUK2011_053	BUK2011	pe	BUK2011
BUK2011_056_55101_7_pe	7	55101	BUK2011_056	BUK2011	pe	BUK2011
BUK2011_057_55110_7_pe	7	55110	BUK2011_057	BUK2011	pe	BUK2011
BUK2011_059_55121_7_pe	7	55121	BUK2011_059	BUK2011	pe	BUK2011
BUK2011_060_55131_7_pe	7	55131	BUK2011_060	BUK2011	pe	BUK2011
KNG2011_373_55129_7_pe	7	55129	KNG2011_373	KNG2011	pe	KNG2011
KNG2011_375_55141_7_pe	7	55141	KNG2011_375	KNG2011	pe	KNG2011
KNG2011_377_55155_7_pe	7	55155	KNG2011_377	KNG2011	pe	KNG2011
KNG2011_379_55089_7_pe	7	55089	KNG2011_379	KNG2011	pe	KNG2011
KNG2011_383_55100_7_pe	7	55100	KNG2011_383	KNG2011	pe	KNG2011
KNG2011_385_14247X115_4_se	4	14247X115	KNG2011_385	KNG2011	se	KNG2011
KNG2011_387_14247X120_4_se	4	14247X120	KNG2011_387	KNG2011	se	KNG2011
KNG2011_391_14247X124_4_se	4	14247X124	KNG2011_391	KNG2011	se	KNG2011
KNG2011_393_14247X127_4_se	4	14247X127	KNG2011_393	KNG2011	se	KNG2011
KNG2011_397_14247X129_4_se	4	14247X129	KNG2011_397	KNG2011	se	KNG2011
KNG2011_399_14247X109_4_se	4	14247X109	KNG2011_399	KNG2011	se	KNG2011
KNG2011_401_14247X112_4_se	4	14247X112	KNG2011_401	KNG2011	se	KNG2011
KNG2011_405_14247X116_4_se	4	14247X116	KNG2011_405	KNG2011	se	KNG2011
KNG2011_407_14247X121_4_se	4	14247X121	KNG2011_407	KNG2011	se	KNG2011
KNG2011_411_14247X125_4_se	4	14247X125	KNG2011_411	KNG2011	se	KNG2011
KNG2011_413_55159_7_pe	7	55159	KNG2011_413	KNG2011	pe	KNG2011
KNG2011_415_14247X145_5_se	5	14247X145	KNG2011_415	KNG2011	se	KNG2011
KNG2011_417_14247X147_5_se	5	14247X147	KNG2011_417	KNG2011	se	KNG2011
KNG2011_421_14247X149_5_se	5	14247X149	KNG2011_421	KNG2011	se	KNG2011
KNG2011_423_14247X151_5_se	5	14247X151	KNG2011_423	KNG2011	se	KNG2011
KNG2011_427_14247X152_5_se	5	14247X152	KNG2011_427	KNG2011	se	KNG2011
KNG2011_429_14247X153_5_se	5	14247X153	KNG2011_429	KNG2011	se	KNG2011
KNG2011_431_14247X154_5_se	5	14247X154	KNG2011_431	KNG2011	se	KNG2011
KNG2011_433_55093_7_pe	7	55093	KNG2011_433	KNG2011	pe	KNG2011
KNG2011_435_55102_7_pe	7	55102	KNG2011_435	KNG2011	pe	KNG2011
KNG2011_437_55112_7_pe	7	55112	KNG2011_437	KNG2011	pe	KNG2011
KNG2011_439_55122_7_pe	7	55122	KNG2011_439	KNG2011	pe	KNG2011
KNG2011_441_55134_7_pe	7	55134	KNG2011_441	KNG2011	pe	KNG2011
KNG2011_489_55146_7_pe	7	55146	KNG2011_489	KNG2011	pe	KNG2011
KNG2011_497_55160_7_pe	7	55160	KNG2011_497	KNG2011	pe	KNG2011
PAA2011_708_55139_7_pe	7	55139	PAA2011_708	PAA2011	pe	PAA2011
PAA2011_728_55151_7_pe	7	55151	PAA2011_728	PAA2011	pe	PAA2011
PAA2011_786_55086_7_pe	7	55086	PAA2011_786	PAA2011	pe	PAA2011
PAA2011_824_14247X100_3_se	3	14247X100	PAA2011_824	PAA2011	se	PAA2011
PAA2011_826_14247X104_3_se	3	14247X104	PAA2011_826	PAA2011	se	PAA2011
PAA2011_854_14247X108_3_se	3	14247X108	PAA2011_854	PAA2011	se	PAA2011
PAA2011_856_55165_7_pe	7	55165	PAA2011_856	PAA2011	pe	PAA2011
PAA2011_858_55171_7_pe	7	55171	PAA2011_858	PAA2011	pe	PAA2011
QQL2011_828_14247X37_2_se	2	14247X37	QQL2011_828	QQL2011	se	QQL2011
QQL2011_832_14247X39_2_se	2	14247X39	QQL2011_832	QQL2011	se	QQL2011
QQL2011_836_14247X41_2_se	2	14247X41	QQL2011_836	QQL2011	se	QQL2011
QQL2011_838_14247X43_2_se	2	14247X43	QQL2011_838	QQL2011	se	QQL2011
QQL2011_840_14247X45_2_se	2	14247X45	QQL2011_840	QQL2011	se	QQL2011
QQL2011_842_merged_merged_se	merged	merged	QQL2011_842	QQL2011	se	QQL2011
QQL2011_844_merged_merged_se	merged	merged	QQL2011_844	QQL2011	se	QQL2011
QQL2011_846_merged_merged_se	merged	merged	QQL2011_846	QQL2011	se	QQL2011
QQL2011_852_merged_merged_se	merged	merged	QQL2011_852	QQL2011	se	QQL2011
QQL2011_860_55166_7_pe	7	55166	QQL2011_860	QQL2011	pe	QQL2011
QQL2011_864_55172_7_pe	7	55172	QQL2011_864	QQL2011	pe	QQL2011
QQL2011_876_55178_7_pe	7	55178	QQL2011_876	QQL2011	pe	QQL2011
QQL2011_878_55185_7_pe	7	55185	QQL2011_878	QQL2011	pe	QQL2011
QQL2011_884_55191_7_pe	7	55191	QQL2011_884	QQL2011	pe	QQL2011
QQL2011_886_55196_7_pe	7	55196	QQL2011_886	QQL2011	pe	QQL2011
QQL2011_888_55216_7_pe	7	55216	QQL2011_888	QQL2011	pe	QQL2011
QQL2011_892_55239_7_pe	7	55239	QQL2011_892	QQL2011	pe	QQL2011
QQL2011_894_14247X77_3_se	3	14247X77	QQL2011_894	QQL2011	se	QQL2011
QQL2011_896_14247X82_3_se	3	14247X82	QQL2011_896	QQL2011	se	QQL2011
